,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
1433,Closure on BayardStreet from Baxter Street to Mott Street,BayardStreet,,Closure on BayardStreet,Closure on BayardStreet,BayardStreet from Baxter Street to Mott Street,Updated
1434,Closure on QueensMidtownTunnel,QueensMidtownTunnel,,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,Updated
1435,Incident on QueensMidtownTunnel WB,,QueensMidtownTunnel WB from Queens Side to Manhattan Side,QueensMidtownTunnel WB,QueensMidtownTunnel WB,,
1436,Closure on HollandTunnel EB,,,Closure on HollandTunnel EB,Closure on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,HollandTunnel EB,Cleared
1437,Construction on BrooklynBridge WB,,BrooklynBridge WB,Construction on BrooklynBridge WB at Brooklyn Side,BrooklynBridge WB at Brooklyn Side,,Cleared
1438,Closure on BayardStreet from Baxter Street to Mott Street,BayardStreet,BayardStreet,Closure on BayardStreet,BayardStreet,BayardStreet,
1439,Closure on HollandTunnel EB,HollandTunnel EB,,Closure on HollandTunnel EB,HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,HollandTunnel EB,
1440,Incident on MidHudsonBridge,,,MidHudsonBridge,MidHudsonBridge,,
1441,Special Event on NewYorkCity,,,NewYorkCity,NewYorkCity,,Cleared
1442,Construction on BrooklynBridge WB,,BrooklynBridge WB at Brooklyn Side,Brooklyn Side,Brooklyn Side,,
1443,Incident on RipVanWinkleBridge,,,RipVanWinkleBridge,RipVanWinkleBridge,,
1444,Closure on BetsyRossBridge WB,,,BetsyRossBridge WB,BetsyRossBridge WB from New Jersey Side to Pennsylvania Side,BetsyRossBridge WB,Cleared
1445,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Updated
1446,Closure on LincolnTunnel,Closure on LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,
1447,Closure on QueensboroBridge EB at Queens Bound,,,Closure on QueensboroBridge EB at Queens Bound,Closure on QueensboroBridge EB at Queens Bound,QueensboroBridge EB at Queens Bound,Cleared
1448,Closure on QueensboroBridge EB,,,Closure on QueensboroBridge EB at Manhattan/Queens Bound,Closure on QueensboroBridge EB at Manhattan/Queens Bound,QueensboroBridge EB,
1449,Special Event on MadisonSquareGarden at the Arena,,,at the Arena,the Arena,,Updated
1450,Special Event on MadisonSquareGarden at the Arena,,,at the Arena,the Arena,,Cleared
1451,Closure on BetsyRossBridge WB,,,BetsyRossBridge WB,New Jersey Side to Pennsylvania Side,from New Jersey Side to Pennsylvania Side,Updated
1452,Closure on BetsyRossBridge WB,Closure on BetsyRossBridge WB from New Jersey Side to Pennsylvania Side,,Closure on BetsyRossBridge WB from New Jersey Side to Pennsylvania Side,New Jersey Side to Pennsylvania Side,BetsyRossBridge WB from New Jersey Side to Pennsylvania Side,
1453,Special Event on TheBeaconTheatre,,,,TheBeaconTheatre,,Updated
1454,Special Event on NJPerformingArtsCenter at Prudential Hall,,,Prudential Hall,Prudential Hall,,Updated
1455,Special Event on NJPerformingArtsCenter at Prudential Hall,,,Prudential Hall,Prudential Hall,,Cleared
1456,Special Event on TheBeaconTheatre,,,TheBeaconTheatre,TheBeaconTheatre,,
1457,Closure on QueensboroBridge EB at Queens Bound,,,Closure on QueensboroBridge EB at Queens Bound,Closure on QueensboroBridge EB at Queens Bound,QueensboroBridge EB at Queens Bound,
1458,Construction,,ThrogsNeckBridge NB at Bronx Bound,Construction on ThrogsNeckBridge NB at Bronx Bound,Bronx Bound,,
1459,Cleared: Incident on GardenStateParkway NB at North of Atlantic City Service Area,,North of Atlantic City Service Area,GardenStateParkway NB,GardenStateParkway NB at North of Atlantic City Service Area,,Cleared
1460,Closure on PulaskiSkyway,Closure on PulaskiSkyway,,Closure on PulaskiSkyway,Closure on PulaskiSkyway,PulaskiSkyway,Updated
1461,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,Updated
1462,Incident on KingstonrhinecliffBridge,,,KingstonrhinecliffBridge,KingstonrhinecliffBridge,,
1463,Incident on GardenStateParkway NB at North of Atlantic City Service Area,North of Atlantic City Service Area,North of Atlantic City Service Area,GardenStateParkway NB,GardenStateParkway NB at North of Atlantic City Service Area,,
1464,,,StanhopeStreet from Wyckoff Avenue to St. Nicholas Avenue,,,,Cleared
1465,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Cleared
1466,Special Event on NJPerformingArtsCenter at Prudential Hall,,,Prudential Hall,Prudential Hall,,Updated
1467,Construction on StanhopeStreet from Wyckoff Avenue to St. Nicholas Avenue,,StanhopeStreet from Wyckoff Avenue to St. Nicholas Avenue,,,,Updated
1468,Special Event on MadisonSquareGarden,,,at the Arena,at the Arena,,
1469,Special Event on NJPerformingArtsCenter at Prudential Hall,,,Prudential Hall,Prudential Hall,,Cleared
1470,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,Updated
1471,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,Cleared
1472,Incident on BrooklynBatteryTunnel at Brooklyn Bound,,,BrooklynBatteryTunnel at Brooklyn Bound,BrooklynBatteryTunnel at Brooklyn Bound,,Cleared
1473,Incident on AtlanticCitybrigantineConnector SB at North of Atlantic City Expressway,,North of Atlantic City Expressway,AtlanticCitybrigantineConnector SB at North of Atlantic City Expressway,North of Atlantic City Expressway,,Cleared
1474,Incident on HollandTunnel EB at New Jersey,,,HollandTunnel EB at New Jersey,HollandTunnel EB at New Jersey,,Cleared
1475,Incident on AtlanticCitybrigantineConnector SB at North of Atlantic City Expressway,,North of Atlantic City Expressway,North of Atlantic City Expressway,North of Atlantic City Expressway,,Updated
1476,Incident on BrooklynBatteryTunnel at Brooklyn Bound,,,BrooklynBatteryTunnel at Brooklyn Bound,Brooklyn Bound,,
1477,Incident on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Updated
1478,Incident on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
1479,Incident on AtlanticCitybrigantineConnector SB at North of Bacharach Blvd/Convention Center,,,AtlanticCitybrigantineConnector SB at North of Bacharach Blvd/Convention Center,North of Bacharach Blvd/Convention Center,,
1480,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,Updated
1481,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,
1482,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
1483,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,
1484,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Updated
1485,Incident on HollandTunnel EB at Mid-Tunnel - South Tube,,,HollandTunnel EB at Mid-Tunnel - South Tube,HollandTunnel EB at Mid-Tunnel - South Tube,,Cleared
1486,Incident on HollandTunnel EB at Mid-Tunnel - South Tube,,,HollandTunnel EB at Mid-Tunnel - South Tube,Mid-Tunnel - South Tube,,Updated
1487,Incident on HollandTunnel EB at Mid-Tunnel - South Tube,,,HollandTunnel EB at Mid-Tunnel - South Tube,Mid-Tunnel - South Tube,,
1488,Special Event on NJPerformingArtsCenter at Prudential Hall,,,Prudential Hall,Prudential Hall,,
1489,Special Event on MadisonSquareGarden,,,at the Arena,at the Arena,,
1490,,,,TheBeaconTheatre,TheBeaconTheatre,,
1491,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
1492,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,
1493,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,
1494,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,
1495,Incident on GeorgeWashingtonBridge EB at New York Side/Lower Level,,,GeorgeWashingtonBridge EB at New York Side/Lower Level,GeorgeWashingtonBridge EB at New York Side/Lower Level,,Cleared
1496,,,,PrudentialCenterROCK,PrudentialCenterROCK,,
1497,Incident on GeorgeWashingtonBridge EB from New Jersey Side/Upper Level to New York Side/Upper Level,,,GeorgeWashingtonBridge EB,GeorgeWashingtonBridge EB,,Cleared
1498,Incident on GeorgeWashingtonBridge EB at New York Side/Lower Level,,,GeorgeWashingtonBridge EB at New York Side/Lower Level,GeorgeWashingtonBridge EB at New York Side/Lower Level,,
1499,Incident on GeorgeWashingtonBridge WB at New Jersey Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB,,Cleared
1500,Incident on HollandTunnel WB,,,HollandTunnel WB at New Jersey Side - North Tube,HollandTunnel WB at New Jersey Side - North Tube,,
1501,Incident on GeorgeWashingtonBridge WB at New Jersey Side/Lower Level,,,GeorgeWashingtonBridge WB at New Jersey Side/Lower Level,GeorgeWashingtonBridge WB at New Jersey Side/Lower Level,,
1502,Incident on GeorgeWashingtonBridge EB from New Jersey Side/Upper Level to New York Side/Upper Level,,,GeorgeWashingtonBridge EB,GeorgeWashingtonBridge EB,,
1503,Incident on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB,,Cleared
1504,Incident on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB,,
1505,Incident on VerrazanonarrowsBridge WB at Staten Island Bound BELT PKWY RAMP,,,VerrazanonarrowsBridge WB,VerrazanonarrowsBridge WB at Staten Island Bound BELT PKWY RAMP,,Cleared
1506,Special Event on LincolnTunnel WB from New York Side - Center Tube to New Jersey Side - Center Tube,,,LincolnTunnel WB,LincolnTunnel WB,,Cleared
1507,Incident on VerrazanonarrowsBridge WB at Staten Island Bound BELT PKWY RAMP,,Staten Island Bound BELT PKWY RAMP,VerrazanonarrowsBridge WB,Staten Island Bound BELT PKWY RAMP,,
1508,Closure on BayardStreet EB from Baxter Street to Mott Street,BayardStreet,BayardStreet,Closure on BayardStreet,BayardStreet,BayardStreet EB from Baxter Street to Mott Street,
1509,Closure on MulberryStreet NB from Worth Street to Canal Street,MulberryStreet NB from Worth Street to Canal Street,,Closure on MulberryStreet NB from Worth Street to Canal Street,Closure on MulberryStreet NB from Worth Street to Canal Street,MulberryStreet NB from Worth Street to Canal Street,Updated
1510,Closure on QueensboroBridge EB,,,QueensboroBridge EB at Manhattan/Queens Bound,Closure on QueensboroBridge EB at Manhattan/Queens Bound,QueensboroBridge EB,Cleared
1511,Incident on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Cleared
1512,Construction on GeorgeWashingtonBridge WB at New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
1513,Incident on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
1514,Special Event on LincolnTunnel WB from New York Side - Center Tube to New Jersey Side - Center Tube,,,New York Side - Center Tube to New Jersey Side - Center Tube,LincolnTunnel WB,,Updated
1515,Construction on GeorgeWashingtonBridge WB at New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB at New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB at New Jersey Side/Upper Level,,Updated
1516,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,Cleared
1517,Special Event on LincolnTunnel WB from New York Side - Center Tube to New Jersey Side - Center Tube,,,LincolnTunnel WB,LincolnTunnel WB,,
1518,Closure on LincolnTunnel,,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,Cleared
1519,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,
1520,Incident on RipVanWinkleBridge,,,RipVanWinkleBridge,RipVanWinkleBridge,,Cleared
1521,Incident on HollandTunnel WB at New Jersey Side - North Tube,,,HollandTunnel WB at New Jersey Side - North Tube,HollandTunnel WB at New Jersey Side - North Tube,,Cleared
1522,Incident on HollandTunnel WB,,,HollandTunnel WB at New Jersey Side - North Tube,HollandTunnel WB at New Jersey Side - North Tube,,
1523,Incident on KingstonrhinecliffBridge,,,KingstonrhinecliffBridge,KingstonrhinecliffBridge,,Cleared
1524,Special Event on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,,HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,HollandTunnel WB,,Cleared
1525,Incident on MidHudsonBridge,,,MidHudsonBridge,MidHudsonBridge,,Cleared
1526,Construction on ThrogsNeckBridge NB at Bronx Bound,,ThrogsNeckBridge NB at Bronx Bound,Construction on ThrogsNeckBridge NB at Bronx Bound,Construction on ThrogsNeckBridge NB at Bronx Bound,,Cleared
1527,Special Event on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,,HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,HollandTunnel EB,,Cleared
1528,Special Event on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,,HollandTunnel WB,HollandTunnel WB,,
1529,Cleared: Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,Cleared
1530,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,
1531,Special Event on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,,HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,HollandTunnel EB,,
1532,Construction on GreeneStreet from Prince Street to West Houston Street,,GreeneStreet from Prince Street to West Houston Street,Construction on GreeneStreet from Prince Street to West Houston Street,Construction on GreeneStreet from Prince Street to West Houston Street,,Cleared
1533,Incident on MarineParkwayBridge Both directions,,,MarineParkwayBridge,MarineParkwayBridge,,Cleared
1534,Cleared: Incident on BronxwhitestoneBridge Both directions,,,BronxwhitestoneBridge,BronxwhitestoneBridge,,Cleared
1535,Cleared: Incident on BrooklynBatteryTunnel Both directions at Manhattan/Brooklyn Bound,,,BrooklynBatteryTunnel,BrooklynBatteryTunnel Both directions at Manhattan/Brooklyn Bound,,Cleared
1536,Incident on VerrazanonarrowsBridge,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,Cleared
1537,Cleared: Incident on HenryHudsonBridge Both directions at Bronx/Manhattan Bound,,,HenryHudsonBridge,HenryHudsonBridge,,Cleared
1538,Incident on CrossBayBridge,,,on CrossBayBridge,Incident on CrossBayBridge,,Cleared
1539,Incident on QueensMidtownTunnel,,,QueensMidtownTunnel,QueensMidtownTunnel,,Cleared
1540,Incident on RFKTriboroughBridge All directions,,,RFKTriboroughBridge,RFKTriboroughBridge,,Cleared
1541,Incident on ThrogsNeckBridge Both directions,,,ThrogsNeckBridge,ThrogsNeckBridge,,Cleared
1542,Construction on GreeneStreet from Prince Street to West Houston Street,,GreeneStreet from Prince Street to West Houston Street,,Construction on GreeneStreet from Prince Street to West Houston Street,,Updated
1543,Closure on QueensboroBridge EB,,,QueensboroBridge EB at Manhattan/Queens Bound,QueensboroBridge EB at Manhattan/Queens Bound,QueensboroBridge EB,Updated
1544,Closure on LincolnTunnel,LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,Updated
1545,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
1546,Incident on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Cleared
1547,Incident on HutchinsonRiverParkwayNYC SB at Orchard Beach,,,HutchinsonRiverParkwayNYC SB at Orchard Beach,Orchard Beach,,Cleared
1548,Cleared: Incident on BronxRiverParkway SB at Ardsley Road; Popham Road,,Ardsley Road; Popham Road,BronxRiverParkway SB,BronxRiverParkway SB,,Cleared
1549,Incident on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
1550,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
1551,Special Event on NJPerformingArtsCenter at Prudential Hall,,,Prudential Hall,Prudential Hall,,
1552,Incident on HutchinsonRiverParkwayNYC SB at Orchard Beach,,HutchinsonRiverParkwayNYC SB at Orchard Beach,HutchinsonRiverParkwayNYC SB at Orchard Beach,Orchard Beach,,
1553,,,,PrudentialCenterROCK,PrudentialCenterROCK,,
1554,Special Event on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,,HollandTunnel WB,HollandTunnel WB,,
1555,Construction on GeorgeWashingtonBridge EB from New Jersey Side/Upper Level Toll Plaza to New York Side/Upper Level,,GeorgeWashingtonBridge EB,,,,Cleared
1556,Construction on OuterbridgeCrossing EB from New Jersey Side to New York Side,,OuterbridgeCrossing EB from New Jersey Side to New York Side,,Construction on OuterbridgeCrossing EB from New Jersey Side to New York Side,,Cleared
1557,Special Event on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,,HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,HollandTunnel EB,,Cleared
1558,Construction on OuterbridgeCrossing EB from New Jersey Side to New York Side,,from New Jersey Side to New York Side,Construction on OuterbridgeCrossing EB from New Jersey Side to New York Side,Construction on OuterbridgeCrossing EB from New Jersey Side to New York Side,,
1559,Special Event on OuterbridgeCrossing EB,,,,OuterbridgeCrossing EB,,
1560,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,GeorgeWashingtonBridge WB at New York Side/Upper Level,,Cleared
1561,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Cleared
1562,Special Event on OuterbridgeCrossing EB,,,,OuterbridgeCrossing EB,,Updated
1563,,,,Earthcam,Incident on NewLine Both directions at Earthcam,,
1564,Incident on HavenLine at Earthcam,,,Earthcam,Earthcam,,Updated
1565,Closure on FultonStreet WB from Gold Street to William Street,FultonStreet WB,,FultonStreet WB,FultonStreet WB,FultonStreet WB from Gold Street to William Street,Cleared
1566,,,,,OuterbridgeCrossing EB,,
1567,Incident on HollandTunnel EB at New Jersey,,,HollandTunnel EB at New Jersey,HollandTunnel EB at New Jersey,,Cleared
1568,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
1569,Construction on GeorgeWashingtonBridge EB,,GeorgeWashingtonBridge EB,,,,Updated
1570,,,GeorgeWashingtonBridge EB,,,,
1571,Special Event,,,BrooklynBatteryTunnel at Brooklyn Bound,BrooklynBatteryTunnel at Brooklyn Bound,,
1572,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
1573,Construction,,ThrogsNeckBridge SB at Queens Bound,Construction on ThrogsNeckBridge SB at Queens Bound,Queens Bound,,
1574,,,Systemwide,,Construction on Systemwide,,
1575,Construction on GeorgeWashingtonBridge WB from Henry Hudson Parkway to New York Side/Upper Level,,GeorgeWashingtonBridge WB from Henry Hudson Parkway to New York Side/Upper Level,,Henry Hudson Parkway,,
1576,Construction on GardenStateParkwayConnector SB from Start of Garden State Parkway Connector to After New Jersey State Line,,GardenStateParkwayConnector SB from Start of Garden State Parkway Connector to After New Jersey State Line,,,,Cleared
1577,Closure on GrandCentralParkway EB at Main Street,GrandCentralParkway EB at Main Street,,Closure on GrandCentralParkway EB at Main Street,GrandCentralParkway EB at Main Street,GrandCentralParkway EB at Main Street,
1578,Construction on GallowayRoad Both directions from Hogback Hill Road to Palmyra Newark Road,,GallowayRoad,,,,Cleared
1579,Construction on GardenStateParkwayConnector SB from Start of Garden State Parkway Connector,,GardenStateParkwayConnector SB from Start of Garden State Parkway Connector,,Garden State Parkway Connector,,Updated
1580,Incident on ThrogsNeckBridge SB at Queens Bound,,,ThrogsNeckBridge SB at Queens Bound,ThrogsNeckBridge SB at Queens Bound,,Cleared
1581,Special Event,,,Manhattan Bound,BrooklynBatteryTunnel at Manhattan Bound,,
1582,Closure on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,,GeorgeWashingtonBridge WB,New York Side/Lower Level to New Jersey Side/Lower Level,GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,
1583,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,Lower Trans Manhattan Expressway to New York Side/Lower Level,Lower Trans Manhattan Expressway,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Closure
1584,Closure on LincolnTunnel,Closure on LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,
1585,Incident on ThrogsNeckBridge SB at Queens Bound,,,ThrogsNeckBridge SB at Queens Bound,Queens Bound,,
1586,Construction on ThrogsNeckBridge,,ThrogsNeckBridge at Bronx Bound,Construction on ThrogsNeckBridge at Bronx Bound,Construction on ThrogsNeckBridge at Bronx Bound,,
1587,Construction,,GardenStateParkwayConnector SB from After New Jersey State Line,,Garden State Parkway,,
1588,Special Event on TheBeaconTheatre,,,,TheBeaconTheatre,,Updated
1589,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,Updated
1590,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,
1591,Special Event on TheBeaconTheatre,,,TheBeaconTheatre,TheBeaconTheatre,,
1592,Incident on HollandTunnel EB at New Jersey,,,HollandTunnel EB at New Jersey,New Jersey,,Updated
1593,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
1594,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
1595,Special Event on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,New Jersey Side - South Tube to New York Side - South Tube,New Jersey Side - South Tube to New York Side - South Tube,HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,Updated
1596,Special Event on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,,HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,HollandTunnel EB,,
1597,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
1598,Special Event on MadisonSquareGarden at the Arena,,,at the Arena,the Arena,,Updated
1599,Special Event on MadisonSquareGarden at the Arena,,,at the Arena,the Arena,,Cleared
1600,Construction on GrandCentralParkway EB at Main Street,,GrandCentralParkway EB at Main Street,,GrandCentralParkway EB at Main Street,,
1601,Closure on FultonStreet WB from Gold Street to William Street,FultonStreet WB from Gold Street to William Street,,FultonStreet WB from Gold Street to William Street,FultonStreet WB from Gold Street to William Street,FultonStreet WB from Gold Street to William Street,
1602,Cleared: Incident on ALLHIGHWAYS Both directions,,,on ALLHIGHWAYS Both directions,on ALLHIGHWAYS Both directions,,Cleared
1603,,,,,BarclaysCenter,,
1604,Incident on BronxRiverParkway SB at Ardsley Road; Popham Road,BronxRiverParkway SB at Ardsley Road; Popham Road,Ardsley Road; Popham Road,BronxRiverParkway SB,BronxRiverParkway SB,Ardsley Road; Popham Road,Updated
1605,Incident on BayonneBridge NB,,,BayonneBridge NB,BayonneBridge NB,,Cleared
1606,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,GeorgeWashingtonBridge WB at New York Side/Upper Level,,Cleared
1607,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
1608,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
1609,,,StanhopeStreet from Wyckoff Avenue to St. Nicholas Avenue,,,,Cleared
1610,Incident on BayonneBridge NB,,,BayonneBridge NB,BayonneBridge NB,,Updated
1611,Incident on BayonneBridge SB,,,BayonneBridge SB,BayonneBridge SB,,
1612,Construction on StanhopeStreet from Wyckoff Avenue to St. Nicholas Avenue,,StanhopeStreet from Wyckoff Avenue to St. Nicholas Avenue,,,,Updated
1613,Cleared: Incident on TaconicStateParkway Both directions at START ROUTE Taconic State Parkway; Bronx River Parkway Rtry,,,TaconicStateParkway,TaconicStateParkway,,Cleared
1614,Incident on GeorgeWashingtonBridge at New Jersey Side/Lower Level,,,GeorgeWashingtonBridge at New Jersey Side/Lower Level,GeorgeWashingtonBridge at New Jersey Side/Lower Level,,Cleared
1615,Incident on GeorgeWashingtonBridge at New Jersey Side/Lower Level,,,GeorgeWashingtonBridge at New Jersey Side/Lower Level,GeorgeWashingtonBridge at New Jersey Side/Lower Level,,
1616,Incident on GoethalsBridge WB,,,GoethalsBridge WB,GoethalsBridge WB,,Cleared
1617,Incident on TaconicStateParkway,,Taconic State Parkway; Bronx,TaconicStateParkway,TaconicStateParkway Both directions at START ROUTE Taconic State Parkway; Bronx,,Updated
1618,Incident on BronxRiverParkway SB,Ardsley Road; Popham Road,Ardsley Road; Popham Road,BronxRiverParkway SB,BronxRiverParkway SB,Ardsley Road; Popham Road,Incident on BronxRiverParkway SB
1619,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,Cleared
